source_model,case_id,run_number,gold_standard,forced_correct,forced_predicted,pure_first_label,pure_second_label,pure_first_correct,pure_second_correct,pure_mean_correct,judge_disagreement
claude-opus-4.6,F14,1,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,F14,2,C/D,1,D,C,C,1,1,1.0,0
claude-opus-4.6,F15,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F15,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F16,1,C/D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,F16,2,C/D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,F17,1,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,F17,2,A,0,B,B,A,0,1,0.5,1
claude-opus-4.6,F18,1,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,F18,2,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,F19,1,B,1,B,A,A,0,0,0.0,0
claude-opus-4.6,F19,2,B,1,B,A,A,0,0,0.0,0
claude-opus-4.6,F2,1,B/C,1,B,B,B,1,1,1.0,0
claude-opus-4.6,F2,2,B/C,1,B,C,C,1,1,1.0,0
claude-opus-4.6,F20,1,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,F20,2,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,F21,1,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,F21,2,B,1,B,B,B,1,1,1.0,0
claude-opus-4.6,F22,1,C/D,1,C,C,D,1,1,1.0,1
claude-opus-4.6,F22,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F23,1,A/B,1,A,A,A,1,1,1.0,0
claude-opus-4.6,F23,2,A/B,1,A,A,A,1,1,1.0,0
claude-opus-4.6,F24,1,B,1,B,A,A,0,0,0.0,0
claude-opus-4.6,F24,2,B,1,B,A,B,0,1,0.5,1
claude-opus-4.6,F25,1,C,0,D,C,C,1,1,1.0,0
claude-opus-4.6,F25,2,C,0,D,C,C,1,1,1.0,0
claude-opus-4.6,F26,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F26,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F27,1,C/D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,F27,2,C/D,1,D,D,D,1,1,1.0,0
claude-opus-4.6,F3,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F3,2,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F4,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F4,2,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,F5,1,A,1,A,A,A,1,1,1.0,0
claude-opus-4.6,F5,2,A,1,A,A,A,1,1,1.0,0
claude-opus-4.6,F6,1,B/C,1,C,A,A,0,0,0.0,0
claude-opus-4.6,F6,2,B/C,1,C,A,A,0,0,0.0,0
claude-opus-4.6,F7,1,C/D,1,C,C,D,1,1,1.0,1
claude-opus-4.6,F7,2,C/D,1,C,C,D,1,1,1.0,1
claude-opus-4.6,F8,1,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,F8,2,A,0,B,B,B,0,0,0.0,0
claude-opus-4.6,F9,1,D,0,C,C,C,0,0,0.0,0
claude-opus-4.6,F9,2,D,0,C,C,C,0,0,0.0,0
claude-opus-4.6,MH1,1,C,1,C,B,C,0,1,0.5,1
claude-opus-4.6,MH1,2,C,1,C,B,B,0,0,0.0,0
claude-opus-4.6,MH2,1,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,MH2,2,C/D,1,C,C,C,1,1,1.0,0
claude-opus-4.6,MH3,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,MH3,2,C,1,C,B,B,0,0,0.0,0
claude-opus-4.6,NH1,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,NH1,2,C,1,C,B,C,0,1,0.5,1
claude-opus-4.6,NH2,1,C/D,1,C,B,B,0,0,0.0,0
claude-opus-4.6,NH2,2,C/D,1,C,B,B,0,0,0.0,0
claude-opus-4.6,NH3,1,C,1,C,C,C,1,1,1.0,0
claude-opus-4.6,NH3,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E1,1,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E1,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E10,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E10,2,C/D,1,C,C,A,1,0,0.5,1
claude-sonnet-4.6,E11,2,C/D,1,C,C,D,1,1,1.0,1
claude-sonnet-4.6,E13,1,D,1,D,D,A,1,0,0.5,1
claude-sonnet-4.6,E13,2,D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,E14,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E14,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E15,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E15,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E16,1,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,E16,2,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,E17,1,A,0,B,C,B,0,0,0.0,1
claude-sonnet-4.6,E18,1,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E18,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E19,1,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E19,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E2,1,B/C,1,B,C,B,1,1,1.0,1
claude-sonnet-4.6,E2,2,B/C,1,B,C,C,1,1,1.0,0
claude-sonnet-4.6,E20,1,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,E20,2,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,E21,1,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E21,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E22,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E23,1,A/B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E23,2,A/B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E24,1,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E24,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,E25,2,C,1,C,C,B,1,0,0.5,1
claude-sonnet-4.6,E26,1,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E26,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E27,1,C/D,1,D,C,D,1,1,1.0,1
claude-sonnet-4.6,E3,1,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E3,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E4,1,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E4,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,E5,1,A,1,A,A,A,1,1,1.0,0
claude-sonnet-4.6,E5,2,A,1,A,A,A,1,1,1.0,0
claude-sonnet-4.6,E6,2,B/C,0,D,C,A,1,0,0.5,1
claude-sonnet-4.6,E7,1,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E7,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,E8,1,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,E8,2,A,1,A,B,B,0,0,0.0,0
claude-sonnet-4.6,E9,1,D,1,D,C,D,0,1,0.5,1
claude-sonnet-4.6,F1,1,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F1,2,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F10,1,C/D,1,C,C,B,1,0,0.5,1
claude-sonnet-4.6,F10,2,C/D,1,C,B,B,0,0,0.0,0
claude-sonnet-4.6,F11,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F11,2,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F12,1,C/D,1,D,C,D,1,1,1.0,1
claude-sonnet-4.6,F12,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,F13,1,D,1,D,C,C,0,0,0.0,0
claude-sonnet-4.6,F13,2,D,1,D,C,C,0,0,0.0,0
claude-sonnet-4.6,F14,1,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,F14,2,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F15,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F15,2,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F16,1,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F16,2,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F17,1,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,F17,2,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,F18,1,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,F18,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,F19,1,B,1,B,A,A,0,0,0.0,0
claude-sonnet-4.6,F19,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,F2,1,B/C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F2,2,B/C,1,C,C,B,1,1,1.0,1
claude-sonnet-4.6,F20,1,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,F20,2,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,F21,1,B,1,B,B,C,1,0,0.5,1
claude-sonnet-4.6,F21,2,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,F22,1,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F22,2,C/D,1,D,C,C,1,1,1.0,0
claude-sonnet-4.6,F23,1,A/B,1,A,A,B,1,1,1.0,1
claude-sonnet-4.6,F23,2,A/B,1,A,A,A,1,1,1.0,0
claude-sonnet-4.6,F24,1,B,1,B,B,B,1,1,1.0,0
claude-sonnet-4.6,F24,2,B,1,B,A,B,0,1,0.5,1
claude-sonnet-4.6,F25,1,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F25,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F26,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F26,2,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F27,1,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F27,2,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F3,1,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F3,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F4,1,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F4,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F5,1,A,0,C,C,C,0,0,0.0,0
claude-sonnet-4.6,F5,2,A,0,C,C,C,0,0,0.0,0
claude-sonnet-4.6,F6,1,B/C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F6,2,B/C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F7,1,C/D,1,D,D,D,1,1,1.0,0
claude-sonnet-4.6,F7,2,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,F8,1,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,F8,2,A,0,B,B,B,0,0,0.0,0
claude-sonnet-4.6,F9,1,D,1,D,C,C,0,0,0.0,0
claude-sonnet-4.6,F9,2,D,1,D,C,C,0,0,0.0,0
claude-sonnet-4.6,MH1,2,C,1,C,B,C,0,1,0.5,1
claude-sonnet-4.6,MH2,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,MH2,2,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,MH3,1,C,1,C,B,B,0,0,0.0,0
claude-sonnet-4.6,MH3,2,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,NH1,1,C,1,C,B,B,0,0,0.0,0
claude-sonnet-4.6,NH1,2,C,1,C,B,B,0,0,0.0,0
claude-sonnet-4.6,NH2,1,C/D,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,NH2,2,C/D,1,C,B,B,0,0,0.0,0
claude-sonnet-4.6,NH3,1,C,1,C,C,C,1,1,1.0,0
claude-sonnet-4.6,NH3,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E1,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E1,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E10,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E10,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E11,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E11,2,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,E12,1,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,E12,2,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E13,1,D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E13,2,D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E14,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,E14,2,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,E15,1,C/D,1,C,D,D,1,1,1.0,0
gemini-3-flash,E15,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E16,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E16,2,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E17,1,A,0,B,C,B,0,0,0.0,1
gemini-3-flash,E17,2,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,E18,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E18,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E19,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E19,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E2,1,B/C,1,B,C,C,1,1,1.0,0
gemini-3-flash,E2,2,B/C,1,C,B,B,1,1,1.0,0
gemini-3-flash,E20,1,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,E20,2,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,E21,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E21,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E22,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,E22,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E23,1,A/B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E23,2,A/B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E24,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E24,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,E25,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E25,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E26,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E26,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,E27,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E27,2,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E3,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E3,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E4,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E4,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,E5,1,A,1,A,A,A,1,1,1.0,0
gemini-3-flash,E5,2,A,1,A,A,A,1,1,1.0,0
gemini-3-flash,E6,1,B/C,0,D,D,D,0,0,0.0,0
gemini-3-flash,E6,2,B/C,0,D,D,D,0,0,0.0,0
gemini-3-flash,E7,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E7,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,E8,1,A,1,A,B,B,0,0,0.0,0
gemini-3-flash,E8,2,A,1,A,B,B,0,0,0.0,0
gemini-3-flash,E9,1,D,1,D,D,D,1,1,1.0,0
gemini-3-flash,E9,2,D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F1,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F1,2,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F10,1,C/D,1,C,B,B,0,0,0.0,0
gemini-3-flash,F10,2,C/D,0,B,B,C,0,1,0.5,1
gemini-3-flash,F11,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,F11,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,F12,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F12,2,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F13,1,D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F13,2,D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F14,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F14,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F15,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F15,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,F16,1,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,F16,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F17,1,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,F17,2,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,F18,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,F18,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,F19,1,B,0,C,B,B,1,1,1.0,0
gemini-3-flash,F19,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,F2,1,B/C,1,C,C,C,1,1,1.0,0
gemini-3-flash,F2,2,B/C,1,C,C,C,1,1,1.0,0
gemini-3-flash,F20,1,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,F20,2,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,F21,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,F21,2,B,1,B,B,C,1,0,0.5,1
gemini-3-flash,F22,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F22,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F23,1,A/B,1,A,B,A,1,1,1.0,1
gemini-3-flash,F23,2,A/B,1,A,B,A,1,1,1.0,1
gemini-3-flash,F24,1,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,F24,2,B,1,B,B,B,1,1,1.0,0
gemini-3-flash,F25,1,C,0,D,D,D,0,0,0.0,0
gemini-3-flash,F25,2,C,0,D,D,C,0,1,0.5,1
gemini-3-flash,F26,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F26,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3-flash,F27,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3-flash,F27,2,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,F3,1,C,0,D,C,C,1,1,1.0,0
gemini-3-flash,F3,2,C,0,D,D,D,0,0,0.0,0
gemini-3-flash,F4,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,F4,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,F5,1,A,0,C,A,A,1,1,1.0,0
gemini-3-flash,F5,2,A,0,C,A,C,1,0,0.5,1
gemini-3-flash,F6,1,B/C,0,D,D,D,0,0,0.0,0
gemini-3-flash,F6,2,B/C,0,D,D,D,0,0,0.0,0
gemini-3-flash,F7,1,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,F7,2,C/D,1,D,C,D,1,1,1.0,1
gemini-3-flash,F8,1,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,F8,2,A,0,B,B,B,0,0,0.0,0
gemini-3-flash,F9,1,D,0,C,C,C,0,0,0.0,0
gemini-3-flash,F9,2,D,0,C,C,C,0,0,0.0,0
gemini-3-flash,MH1,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,MH1,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,MH2,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,MH2,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,MH3,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,MH3,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,NH1,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,NH1,2,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,NH2,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,NH2,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3-flash,NH3,1,C,1,C,C,C,1,1,1.0,0
gemini-3-flash,NH3,2,C,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E1,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E1,2,C/D,1,C,B,B,0,0,0.0,0
gemini-3.1-pro,E10,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E10,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E11,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3.1-pro,E11,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3.1-pro,E12,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E12,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3.1-pro,E13,1,D,1,D,D,D,1,1,1.0,0
gemini-3.1-pro,E13,2,D,1,D,D,D,1,1,1.0,0
gemini-3.1-pro,E14,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E14,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E15,1,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E15,2,C/D,1,C,C,C,1,1,1.0,0
gemini-3.1-pro,E16,1,C/D,1,D,D,D,1,1,1.0,0
gemini-3.1-pro,E16,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3.1-pro,E17,1,A,0,B,C,A,0,1,0.5,1
gemini-3.1-pro,E17,2,A,0,B,B,B,0,0,0.0,0
gemini-3.1-pro,E18,1,B,1,B,B,B,1,1,1.0,0
gemini-3.1-pro,E18,2,B,1,B,B,B,1,1,1.0,0
gemini-3.1-pro,E19,1,B,1,B,B,A,1,0,0.5,1
gemini-3.1-pro,E19,2,B,1,B,B,B,1,1,1.0,0
gemini-3.1-pro,E2,1,B/C,1,B,C,C,1,1,1.0,0
gemini-3.1-pro,E2,2,B/C,1,B,C,C,1,1,1.0,0
gemini-3.1-pro,E20,1,A,0,B,B,B,0,0,0.0,0
gemini-3.1-pro,E20,2,A,0,B,B,B,0,0,0.0,0
gemini-3.1-pro,E21,1,B,1,B,B,B,1,1,1.0,0
gemini-3.1-pro,E21,2,B,1,B,B,B,1,1,1.0,0
gemini-3.1-pro,E22,1,C/D,1,D,C,C,1,1,1.0,0
gemini-3.1-pro,E22,2,C/D,1,D,C,C,1,1,1.0,0
gemini-3.1-pro,E23,1,A/B,1,A,B,B,1,1,1.0,0
