source_model,case_id,prompt_format,n_runs,structured_accuracy,natural_gpt_accuracy,natural_opus_accuracy,natural_mean_accuracy,natural_consensus_accuracy,delta_mean_minus_structured,judge_disagreements
gemini-3-flash,case_07,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3-flash,case_08,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_08,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_09,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3-flash,case_09,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3-flash,case_10,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_10,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_11,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3-flash,case_11,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3-flash,case_12,patient_minimal,5,0.6,0.4,0.2,0.3,,-0.3,1
gemini-3-flash,case_12,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_13,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_13,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_14,patient_minimal,5,0.0,0.4,0.4,0.4,0.4,0.4,0
gemini-3-flash,case_14,patient_realistic,5,0.0,0.8,0.8,0.8,0.8,0.8,0
gemini-3-flash,case_15,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_15,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_16,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3-flash,case_16,patient_realistic,5,0.8,0.2,0.0,0.1,,-0.7000000000000001,1
gemini-3-flash,case_17,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3-flash,case_17,patient_realistic,5,0.4,1.0,1.0,1.0,1.0,0.6,0
gemini-3.1-pro,case_01,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_01,patient_realistic,5,0.4,1.0,1.0,1.0,1.0,0.6,0
gemini-3.1-pro,case_02,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_02,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_03,patient_minimal,5,0.4,0.2,0.2,0.2,0.2,-0.2,0
gemini-3.1-pro,case_03,patient_realistic,5,0.8,0.0,0.0,0.0,0.0,-0.8,0
gemini-3.1-pro,case_04,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_04,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_05,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_05,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_06,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_06,patient_realistic,5,0.0,1.0,1.0,1.0,1.0,1.0,0
gemini-3.1-pro,case_07,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3.1-pro,case_07,patient_realistic,5,1.0,0.8,0.4,0.6,,-0.4,2
gemini-3.1-pro,case_08,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_08,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_09,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3.1-pro,case_09,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3.1-pro,case_10,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_10,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_11,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gemini-3.1-pro,case_11,patient_realistic,5,0.6,0.4,0.2,0.3,,-0.3,1
gemini-3.1-pro,case_12,patient_minimal,5,0.4,1.0,0.8,0.9,,0.5,1
gemini-3.1-pro,case_12,patient_realistic,5,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0
gemini-3.1-pro,case_13,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_13,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_14,patient_minimal,5,0.0,0.8,0.8,0.8,0.8,0.8,0
gemini-3.1-pro,case_14,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_15,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_15,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_16,patient_minimal,5,1.0,0.2,0.2,0.2,,-0.8,2
gemini-3.1-pro,case_16,patient_realistic,5,1.0,0.0,0.0,0.0,0.0,-1.0,0
gemini-3.1-pro,case_17,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gemini-3.1-pro,case_17,patient_realistic,5,0.2,0.4,0.4,0.4,0.4,0.2,0
gpt-5.2-thinking-high,case_01,patient_minimal,5,0.6,1.0,1.0,1.0,1.0,0.4,0
gpt-5.2-thinking-high,case_01,patient_realistic,5,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0
gpt-5.2-thinking-high,case_02,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_02,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_03,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_03,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_04,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_04,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_05,patient_minimal,5,0.4,1.0,1.0,1.0,1.0,0.6,0
gpt-5.2-thinking-high,case_05,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_06,patient_minimal,5,1.0,0.8,0.8,0.8,,-0.19999999999999996,2
gpt-5.2-thinking-high,case_06,patient_realistic,5,1.0,0.8,1.0,0.9,,-0.09999999999999998,1
gpt-5.2-thinking-high,case_07,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_07,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_08,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_08,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_09,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_09,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_10,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_10,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_11,patient_minimal,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_11,patient_realistic,5,0.0,0.0,0.0,0.0,0.0,0.0,0
gpt-5.2-thinking-high,case_12,patient_minimal,5,0.8,0.8,0.4,0.6,,-0.20000000000000007,2
gpt-5.2-thinking-high,case_12,patient_realistic,5,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0
gpt-5.2-thinking-high,case_13,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_13,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_14,patient_minimal,5,0.0,0.6,0.6,0.6,,0.6,2
gpt-5.2-thinking-high,case_14,patient_realistic,5,0.0,1.0,1.0,1.0,1.0,1.0,0
gpt-5.2-thinking-high,case_15,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_15,patient_realistic,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_16,patient_minimal,5,0.6,0.6,0.0,0.3,,-0.3,3
gpt-5.2-thinking-high,case_16,patient_realistic,5,1.0,0.0,0.0,0.0,0.0,-1.0,0
gpt-5.2-thinking-high,case_17,patient_minimal,5,1.0,1.0,1.0,1.0,1.0,0.0,0
gpt-5.2-thinking-high,case_17,patient_realistic,5,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0
