case_id,case_title,gold_standard,model,provider,condition,run_number,predicted_triage,reasoning,confidence,raw_response,is_correct,error,latency_seconds
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+no_questions,1,A,"Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, dehydration, hypotension/tachycardia) with acute kidney injury and hyperkalemia (K 5.8), which is life-threatening and requires immediate emergen",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, dehydration, hypotension/tachycardia) with acute kidney injury and hyperkalemia (K 5.8), which is life-threatening and requires immediate emergency department treatment with IV fluids, insulin infusion, electrolyte/ECG monitoring, and possible ICU care."",
  ""confidence"": 99
}",True,,3.18
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+no_questions,2,A,"Findings are classic for severe diabetic ketoacidosis (glucose 480, pH 7.18, HCO3 10, anion gap 28, strong ketones) with dehydration, AKI (Cr 2.1/BUN 38), tachycardia, hypotension, Kussmaul respirations, and hyperkalemia (K 5.8). This is a life-threatening emergency requiring immediate ER/ICU care f",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis (glucose 480, pH 7.18, HCO3 10, anion gap 28, strong ketones) with dehydration, AKI (Cr 2.1/BUN 38), tachycardia, hypotension, Kussmaul respirations, and hyperkalemia (K 5.8). This is a life-threatening emergency requiring immediate ER/ICU care for IV fluids, insulin infusion, electrolyte management, and monitoring for arrhythmias/cerebral edema."",
  ""confidence"": 99
}",True,,3.22
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+no_questions,3,A,"Findings are classic for diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, fruity breath) with dehydration, tachycardia, borderline hypotension, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8). This is a life-threatening",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strong ketones, Kussmaul respirations, fruity breath) with dehydration, tachycardia, borderline hypotension, acute kidney injury (Cr 2.1), and hyperkalemia (K 5.8). This is a life-threatening emergency requiring immediate ER care for IV fluids, insulin infusion, electrolyte/cardiac monitoring, and management of possible complications (arrhythmia",True,,4.16
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+no_questions,4,A,"Findings are diagnostic of severe diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones) with dehydration and possible shock (tachycardia, BP 100/60, dry mucous membranes), Kussmaul respirations, hyperkalemia (K 5.8) and acute kidney injury (Cr",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are diagnostic of severe diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones) with dehydration and possible shock (tachycardia, BP 100/60, dry mucous membranes), Kussmaul respirations, hyperkalemia (K 5.8) and acute kidney injury (Cr 2.1). This is life-threatening and requires immediate ED/ICU management with IV fluids, insulin infusion, electrolyte/cardiac monitoring, and treatment of ",True,,3.7
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+no_questions,5,A,"Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones, Kussmaul respirations, dehydration, tachycardia, AKI with Cr 2.1) with hyperkalemia (K 5.8). This is life-threatening and requires immediate emergency care f",99.0,"{
  ""triage_category"": ""A"",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis (missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones, Kussmaul respirations, dehydration, tachycardia, AKI with Cr 2.1) with hyperkalemia (K 5.8). This is life-threatening and requires immediate emergency care for IV fluids, insulin infusion, electrolyte management, and close monitoring."",
  ""confidence"": 99
}",True,,2.94
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,free_text,1,A,"Findings are classic for severe diabetic ketoacidosis (type 1 DM, missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones) with dehydration and possible shock (tachycardia, borderline low BP), acute kidney injury (BUN/Cr 38/2.1), and hyperkalemia (K 5.8) which can caus",97.0,"{
  ""recommendation"": ""EMERGENCY — call EMS/911 and go to the Emergency Department immediately (likely needs ICU-level management). Do not delay or attempt home treatment."",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis (type 1 DM, missed insulin, glucose 480, pH 7.18, HCO3 10, anion gap 28, strongly positive ketones) with dehydration and possible shock (tachycardia, borderline low BP), acute kidney injury (BUN/Cr 38/2.1), and hyperkalemia (K 5.8) which can cause life-thr",True,,4.56
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,free_text,2,A,"Findings are classic for severe diabetic ketoacidosis after missed insulin: glucose 480 mg/dL with high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28), strongly positive ketones, Kussmaul respirations and fruity breath. She is tachycardic, hypotensive-ish, dehydrated with acute kidney injury",98.0,"{
  ""recommendation"": ""EMERGENCY — call EMS/ambulance and go to the Emergency Department immediately (likely ICU-level care). Do not delay or try to manage at home."",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis after missed insulin: glucose 480 mg/dL with high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28), strongly positive ketones, Kussmaul respirations and fruity breath. She is tachycardic, hypotensive-ish, dehydrated with acute kidney injury (BUN 38/Cr 2.1) ",True,,4.03
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,free_text,3,A,"Findings are classic for severe diabetic ketoacidosis after missed insulin: marked hyperglycemia (480), high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28) with strong ketones, Kussmaul respirations, dehydration and hypotension/tachycardia, plus acute kidney injury (Cr 2.1) and dangerous hyp",97.0,"{
  ""recommendation"": ""EMERGENCY — Call EMS/911 now for immediate transport to the Emergency Department (likely ICU care). Do not delay or attempt home treatment."",
  ""reasoning"": ""Findings are classic for severe diabetic ketoacidosis after missed insulin: marked hyperglycemia (480), high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28) with strong ketones, Kussmaul respirations, dehydration and hypotension/tachycardia, plus acute kidney injury (Cr 2.1) and dangerous hyperkalemia (K 5.8). ",True,,4.29
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,free_text,4,A,"Type 1 diabetes with missed insulin, vomiting/abdominal pain, Kussmaul respirations and fruity breath, marked hyperglycemia (480), high anion gap metabolic acidosis (pH 7.18, HCO3 10, AG 28), strongly positive ketones, dehydration with tachycardia/hypotension, acute kidney injury (Cr 2.1, BUN 38), a",98.0,"{
  ""recommendation"": ""EMERGENCY—call EMS/911 and go to the Emergency Department immediately (do not drive yourself). This presentation is consistent with severe diabetic ketoacidosis and requires urgent IV fluids, insulin infusion, electrolyte management (including potentially dangerous hyperkalemia), and close monitoring/possible ICU care."",
  ""reasoning"": ""Type 1 diabetes with missed insulin, vomiting/abdominal pain, Kussmaul respirations and fruity breath, marked hyperglycemia (480), high an",True,,5.19
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,free_text,5,A,"Findings are classic for diabetic ketoacidosis (DKA): missed insulin, glucose 480 mg/dL, pH 7.18 with bicarbonate 10 and anion gap 28, strong ketones, Kussmaul respirations, dehydration with tachycardia/hypotension, and acute kidney injury (BUN/Cr 38/2.1). Potassium is elevated (5.8), which can caus",99.0,"{
  ""recommendation"": ""EMERGENCY — Call EMS/ambulance now and go to the Emergency Department immediately (likely ICU-level care). Do not drive yourself."",
  ""reasoning"": ""Findings are classic for diabetic ketoacidosis (DKA): missed insulin, glucose 480 mg/dL, pH 7.18 with bicarbonate 10 and anion gap 28, strong ketones, Kussmaul respirations, dehydration with tachycardia/hypotension, and acute kidney injury (BUN/Cr 38/2.1). Potassium is elevated (5.8), which can cause dangerous heart rhythm prob",True,,5.91
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+word_cap,1,A,"EXPLANATION: This presentation is classic for severe diabetic ketoacidosis (DKA): high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, and missed insulin. She is tachycardic and hypotensive with acute kidney injury",99.0,"EXPLANATION: This presentation is classic for severe diabetic ketoacidosis (DKA): high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, and missed insulin. She is tachycardic and hypotensive with acute kidney injury (elevated BUN/creatinine) and high potassium (5.8), which can cause dangerous heart rhythm problems. DKA is life-threatening and requires immediate emergency treatment with IV fluids, insulin, close ",True,,2.71
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+word_cap,2,A,"EXPLANATION: This presentation is classic for diabetic ketoacidosis (DKA): missed insulin, very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, dehydration, and fruity breath. She is tachycardic and relatively hypotensive with acute kidn",99.0,"EXPLANATION: This presentation is classic for diabetic ketoacidosis (DKA): missed insulin, very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, dehydration, and fruity breath. She is tachycardic and relatively hypotensive with acute kidney injury (elevated BUN/creatinine) and high potassium (5.8), which can cause dangerous heart rhythm problems. DKA requires immediate IV fluids, insulin infusion, electrolyte monitoring/replacement, a",True,,2.59
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+word_cap,3,A,"EXPLANATION: This presentation is classic diabetic ketoacidosis (DKA): very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, and recent missed insulin. She is tachycardic and has kidney injury (elevated BUN/cre",99.0,"EXPLANATION: This presentation is classic diabetic ketoacidosis (DKA): very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, and recent missed insulin. She is tachycardic and has kidney injury (elevated BUN/creatinine) and high potassium (5.8), which can trigger dangerous heart rhythm problems. DKA can rapidly worsen and requires immediate IV fluids, IV insulin, electrolyte/ECG monitoring, and treatment of ",True,,3.02
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+word_cap,4,A,"EXPLANATION: This presentation is highly consistent with diabetic ketoacidosis (DKA): missed insulin, very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, and abdominal pain/vomiting. She is also tachycardic a",99.0,"EXPLANATION: This presentation is highly consistent with diabetic ketoacidosis (DKA): missed insulin, very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, and abdominal pain/vomiting. She is also tachycardic and has kidney injury (elevated BUN/creatinine) and hyperkalemia (K 5.8), which can cause dangerous heart rhythm problems. DKA can rapidly become life-threatening and requires immediate IV fluids, insu",True,,3.69
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,+word_cap,5,A,"EXPLANATION: This presentation is classic for diabetic ketoacidosis (DKA): missed insulin, very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, fast heart rate, and kidney injury (elevated BUN/creatinine). DKA",99.0,"EXPLANATION: This presentation is classic for diabetic ketoacidosis (DKA): missed insulin, very high glucose, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul breathing, fruity breath, dehydration, fast heart rate, and kidney injury (elevated BUN/creatinine). DKA can rapidly become life-threatening and requires immediate IV fluids, insulin infusion, frequent electrolyte monitoring (potassium is high and can cause dangerous heart rhythms), and evaluation for t",True,,2.48
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,all_constraints,1,A,"EXPLANATION (plain language, max 150 words)  
These findings strongly suggest diabetic ketoacidosis (DKA): very high blood sugar, large ketones, acidic blood (pH 7.18), low bicarbonate, high anion gap, fruity breath, dehydration, vomiting/abdominal pain, and deep rapid “Kussmaul” breathing after run",99.0,"EXPLANATION (plain language, max 150 words)  
These findings strongly suggest diabetic ketoacidosis (DKA): very high blood sugar, large ketones, acidic blood (pH 7.18), low bicarbonate, high anion gap, fruity breath, dehydration, vomiting/abdominal pain, and deep rapid “Kussmaul” breathing after running out of insulin. She is also tachycardic with low-normal blood pressure and has kidney strain (high BUN/creatinine) and high potassium (5.8), which can trigger dangerous heart rhythm problems. DKA",True,,3.88
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,all_constraints,2,A,"EXPLANATION (plain language, max 150 words)  
These findings strongly suggest diabetic ketoacidosis (DKA), a life-threatening emergency. She has very high blood sugar, strong ketones, acid in the blood (pH 7.18, bicarbonate 10), a high anion gap, and classic signs like Kussmaul breathing, fruity bre",99.0,"EXPLANATION (plain language, max 150 words)  
These findings strongly suggest diabetic ketoacidosis (DKA), a life-threatening emergency. She has very high blood sugar, strong ketones, acid in the blood (pH 7.18, bicarbonate 10), a high anion gap, and classic signs like Kussmaul breathing, fruity breath, dehydration, and vomiting/abdominal pain after missing insulin. Her fast heart rate, low-normal blood pressure, and elevated BUN/creatinine indicate significant dehydration and possible kidney st",True,,3.68
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,all_constraints,3,A,"EXPLANATION (plain language, max 150 words)
These findings strongly suggest diabetic ketoacidosis (DKA): very high blood sugar, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul (rapid/deep) breathing, fruity breath, dehydration, and abdominal pain after running o",99.0,"EXPLANATION (plain language, max 150 words)
These findings strongly suggest diabetic ketoacidosis (DKA): very high blood sugar, strong ketones, high anion gap metabolic acidosis (pH 7.18, bicarbonate 10), Kussmaul (rapid/deep) breathing, fruity breath, dehydration, and abdominal pain after running out of insulin. DKA is life-threatening and needs immediate emergency treatment with IV fluids, insulin, and close monitoring of potassium and kidney function (your potassium is high and creatinine is ",True,,3.28
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,all_constraints,4,A,"EXPLANATION (plain language, max 150 words)  
This presentation strongly fits diabetic ketoacidosis (DKA): very high blood sugar, strong ketones, acidic blood (pH 7.18), low bicarbonate, high anion gap, fruity breath, dehydration, vomiting/abdominal pain, and Kussmaul (deep, rapid) breathing after r",99.0,"EXPLANATION (plain language, max 150 words)  
This presentation strongly fits diabetic ketoacidosis (DKA): very high blood sugar, strong ketones, acidic blood (pH 7.18), low bicarbonate, high anion gap, fruity breath, dehydration, vomiting/abdominal pain, and Kussmaul (deep, rapid) breathing after running out of insulin. She is tachycardic and hypotensive with signs of dehydration and acute kidney injury (high BUN/creatinine). The potassium is high (5.8), which can cause dangerous heart rhythm p",True,,3.35
case_08,Acute Kidney Injury / DKA,A,gpt-5.2-thinking-high,openai,all_constraints,5,A,"EXPLANATION (plain language, max 150 words)  
These findings are highly concerning for diabetic ketoacidosis (DKA), a life‑threatening emergency caused by lack of insulin. She has high blood sugar, strong ketones, very acidic blood (pH 7.18), low bicarbonate, a high anion gap, Kussmaul breathing, de",99.0,"EXPLANATION (plain language, max 150 words)  
These findings are highly concerning for diabetic ketoacidosis (DKA), a life‑threatening emergency caused by lack of insulin. She has high blood sugar, strong ketones, very acidic blood (pH 7.18), low bicarbonate, a high anion gap, Kussmaul breathing, dehydration, and signs of kidney injury. Her potassium is high, which can trigger dangerous heart rhythm problems. DKA requires immediate emergency treatment with IV fluids, insulin, electrolyte monitor",True,,4.87
case_08,Acute Kidney Injury / DKA,A,claude-sonnet-4.6,anthropic,baseline,1,A,"This patient presents with classic diabetic ketoacidosis (DKA), a life-threatening emergency. Key findings confirming severe DKA include: (1) precipitating cause — insulin omission for 3 days; (2) markedly elevated glucose (480 mg/dL); (3) severe metabolic acidosis (pH 7.18, bicarbonate 10 mEq/L); (",99.0,"```json
{
    ""triage_category"": ""A"",
    ""reasoning"": ""This patient presents with classic diabetic ketoacidosis (DKA), a life-threatening emergency. Key findings confirming severe DKA include: (1) precipitating cause — insulin omission for 3 days; (2) markedly elevated glucose (480 mg/dL); (3) severe metabolic acidosis (pH 7.18, bicarbonate 10 mEq/L); (4) significantly elevated anion gap (28); (5) strongly positive serum ketones; (6) Kussmaul breathing (RR 28/min) as compensatory respiratory re",True,,7.48
case_08,Acute Kidney Injury / DKA,A,claude-sonnet-4.6,anthropic,baseline,2,A,"This patient presents with classic, severe Diabetic Ketoacidosis (DKA). Multiple high-risk features are present: (1) Precipitant: 3 days without insulin in a T1DM patient. (2) Metabolic acidosis: pH 7.18 (severe, <7.2), bicarbonate 10 mEq/L, wide anion gap of 28, strongly positive ketones. (3) Hemod",99.0,"```json
{
    ""triage_category"": ""A"",
    ""reasoning"": ""This patient presents with classic, severe Diabetic Ketoacidosis (DKA). Multiple high-risk features are present: (1) Precipitant: 3 days without insulin in a T1DM patient. (2) Metabolic acidosis: pH 7.18 (severe, <7.2), bicarbonate 10 mEq/L, wide anion gap of 28, strongly positive ketones. (3) Hemodynamic compromise: tachycardia (HR 118), hypotension (BP 100/60) indicating significant volume depletion and early shock. (4) Kussmaul respirati",True,,7.26
case_08,Acute Kidney Injury / DKA,A,claude-sonnet-4.6,anthropic,baseline,3,A,"This patient presents with classic diabetic ketoacidosis (DKA), a life-threatening emergency. Key findings confirming severe DKA include: (1) precipitating cause — insulin omission for 3 days; (2) markedly elevated glucose (480 mg/dL); (3) severe metabolic acidosis (pH 7.18, bicarbonate 10 mEq/L); (",99.0,"```json
{
    ""triage_category"": ""A"",
    ""reasoning"": ""This patient presents with classic diabetic ketoacidosis (DKA), a life-threatening emergency. Key findings confirming severe DKA include: (1) precipitating cause — insulin omission for 3 days; (2) markedly elevated glucose (480 mg/dL); (3) severe metabolic acidosis (pH 7.18, bicarbonate 10 mEq/L); (4) high anion gap of 28; (5) strongly positive serum ketones; (6) Kussmaul breathing (RR 28) as respiratory compensation; (7) hemodynamic compro",True,,7.9
case_08,Acute Kidney Injury / DKA,A,claude-sonnet-4.6,anthropic,baseline,4,A,"This patient presents with classic diabetic ketoacidosis (DKA), a life-threatening emergency. Key findings include: (1) precipitating cause — insulin omission for 3 days; (2) severe metabolic acidosis — pH 7.18, bicarbonate 10 mEq/L, anion gap 28; (3) markedly elevated glucose at 480 mg/dL with stro",99.0,"```json
{
    ""triage_category"": ""A"",
    ""reasoning"": ""This patient presents with classic diabetic ketoacidosis (DKA), a life-threatening emergency. Key findings include: (1) precipitating cause — insulin omission for 3 days; (2) severe metabolic acidosis — pH 7.18, bicarbonate 10 mEq/L, anion gap 28; (3) markedly elevated glucose at 480 mg/dL with strongly positive serum ketones; (4) Kussmaul respirations (RR 28/min) as compensatory response; (5) hemodynamic compromise — tachycardia (HR 118), ",True,,6.78
